Age,Gender,Marital Status,Education Level,Employment Status,Credit Utilization Ratio,Payment History,Number of Credit Accounts,Loan Amount,Interest Rate,Loan Term,Type of Loan
56,Male,Single,PhD,Unemployed,0.4,2483.9,1,2877543,6.38,36,Auto Loan
69,Male,Married,Master,Unemployed,0.95,579.4,4,3380698,6.0,36,Personal Loan
46,Male,Widowed,PhD,Employed,0.97,2455.1,5,2332018,6.98,12,Home Loan
32,Female,Single,Bachelor,Self-Employed,0.39,1100.2,13,725003,8.06,24,Auto Loan
60,Male,Widowed,High School,Employed,0.85,860.8,6,2285598,6.34,12,Home Loan
25,Male,Married,PhD,Employed,0.77,789.3,5,4902571,2.59,60,Personal Loan
38,Male,Single,PhD,Employed,0.31,568.1,1,4501260,3.2,36,Personal Loan
56,Female,Divorced,PhD,Unemployed,0.23,1809.0,3,846002,7.4,48,Home Loan
36,Female,Married,PhD,Unemployed,0.46,1045.6,1,1371621,2.97,12,Home Loan
40,Male,Divorced,High School,Unemployed,0.78,2973.6,11,1180642,2.01,60,Home Loan
28,Male,Widowed,High School,Self-Employed,0.96,1936.1,5,400508,6.42,36,Education Loan
28,Male,Widowed,Bachelor,Employed,0.76,844.7,5,1779107,4.32,24,Education Loan
41,Male,Married,High School,Self-Employed,0.86,2221.9,12,46160,7.94,36,Education Loan
53,Female,Widowed,PhD,Unemployed,0.6,2744.4,11,29156,6.05,24,Education Loan
57,Female,Divorced,Bachelor,Self-Employed,0.84,2362.9,13,2580348,2.13,24,Auto Loan
41,Female,Single,Bachelor,Employed,0.78,691.1,6,2572688,8.13,12,Personal Loan
20,Female,Single,Bachelor,Employed,0.38,2739.7,8,4664126,3.31,12,Home Loan
39,Male,Single,PhD,Unemployed,0.55,2484.8,10,4161674,3.86,36,Personal Loan
19,Male,Married,Master,Unemployed,0.8,895.8,12,1824630,4.32,60,Home Loan
41,Male,Widowed,PhD,Self-Employed,0.05,629.5,1,4924005,1.86,36,Personal Loan
61,Female,Divorced,High School,Unemployed,0.81,1893.3,4,891809,4.98,48,Auto Loan
47,Male,Widowed,High School,Unemployed,0.18,890.1,10,4509311,2.36,24,Education Loan
55,Female,Widowed,PhD,Employed,0.51,2586.5,11,747197,4.31,24,Personal Loan
19,Female,Widowed,PhD,Unemployed,0.81,1395.8,1,3818282,3.95,12,Home Loan
38,Male,Single,Bachelor,Unemployed,0.25,2782.2,9,655649,6.91,60,Personal Loan
50,Male,Divorced,PhD,Employed,0.25,1914.2,11,222986,7.12,12,Auto Loan
29,Male,Divorced,Bachelor,Employed,0.4,956.7,7,3353014,2.57,48,Auto Loan
39,Female,Widowed,High School,Self-Employed,0.89,849.0,7,3648236,4.07,36,Personal Loan
61,Male,Single,Bachelor,Unemployed,0.0,1941.2,12,39777,4.11,36,Education Loan
42,Female,Single,PhD,Employed,0.9,2404.7,5,3412155,2.56,60,Home Loan
66,Male,Divorced,High School,Self-Employed,0.15,2453.8,7,3837271,7.09,12,Auto Loan
44,Female,Single,Master,Self-Employed,0.99,1189.4,12,4624965,6.45,12,Auto Loan
59,Female,Single,Bachelor,Unemployed,0.95,1010.6,2,208110,2.83,48,Personal Loan
45,Male,Single,High School,Unemployed,0.49,541.9,14,4089430,4.07,36,Auto Loan
33,Female,Married,Bachelor,Self-Employed,0.51,2198.0,13,424627,2.24,12,Auto Loan
32,Female,Widowed,High School,Employed,0.48,691.4,4,2813089,5.9,60,Home Loan
64,Male,Divorced,High School,Self-Employed,0.64,1551.9,14,2385163,2.35,36,Education Loan
68,Female,Divorced,Bachelor,Unemployed,0.09,2004.2,14,3742517,8.4,48,Home Loan
61,Male,Married,Master,Employed,0.03,2842.8,7,3301066,6.96,60,Education Loan
69,Female,Widowed,High School,Employed,0.06,1279.5,3,4894872,4.23,24,Home Loan
20,Male,Divorced,High School,Self-Employed,0.44,1124.4,2,4763954,5.55,48,Personal Loan
54,Male,Single,High School,Unemployed,0.28,2135.4,10,1227933,7.88,60,Auto Loan
68,Female,Divorced,Master,Self-Employed,0.62,2048.1,2,1709547,5.38,12,Education Loan
24,Female,Single,Master,Self-Employed,0.99,1330.3,13,2887597,2.72,24,Personal Loan
38,Female,Married,PhD,Self-Employed,0.39,2820.3,1,4410131,4.15,48,Auto Loan
26,Female,Single,Bachelor,Employed,0.57,2612.2,5,3119823,7.4,12,Auto Loan
56,Female,Divorced,Master,Employed,0.42,1060.0,12,352424,6.01,24,Auto Loan
35,Male,Divorced,Bachelor,Unemployed,0.85,1097.9,6,1471659,6.06,36,Home Loan
21,Female,Divorced,PhD,Unemployed,0.9,1780.8,6,2950107,7.57,12,Personal Loan
42,Male,Married,Bachelor,Self-Employed,0.88,2433.9,9,2060241,7.76,60,Personal Loan
31,Male,Married,Master,Self-Employed,0.97,610.1,4,3031034,7.94,48,Auto Loan
67,Female,Widowed,Bachelor,Self-Employed,0.03,2233.3,1,4944349,2.16,24,Education Loan
26,Male,Divorced,Master,Unemployed,0.84,2120.6,6,1166245,5.31,12,Personal Loan
43,Male,Single,Bachelor,Employed,0.75,1078.7,5,4936622,6.68,36,Home Loan
19,Male,Married,Master,Employed,0.23,2203.4,10,168998,6.8,48,Education Loan
37,Male,Divorced,Master,Self-Employed,0.96,2850.5,6,1686079,5.75,48,Education Loan
45,Female,Divorced,Bachelor,Self-Employed,0.15,617.0,3,632995,2.67,12,Education Loan
64,Male,Married,PhD,Self-Employed,0.68,1299.1,2,3772853,7.08,36,Education Loan
24,Female,Widowed,High School,Self-Employed,0.22,1595.4,6,4060230,6.54,24,Personal Loan
61,Female,Married,PhD,Unemployed,0.43,2748.2,13,2013011,2.1,12,Auto Loan
25,Male,Married,Bachelor,Employed,0.72,2905.7,1,1286120,4.75,24,Education Loan
64,Female,Single,PhD,Self-Employed,0.56,1610.3,7,4471918,2.72,48,Home Loan
52,Female,Single,Master,Unemployed,0.43,2375.1,7,3383195,3.86,24,Home Loan
31,Female,Widowed,High School,Self-Employed,0.33,1829.2,10,1818516,1.63,36,Auto Loan
34,Male,Divorced,Bachelor,Self-Employed,0.84,1844.5,13,966011,4.3,60,Personal Loan
53,Female,Married,Bachelor,Employed,0.14,1195.2,7,3667905,5.35,36,Auto Loan
67,Female,Widowed,Bachelor,Self-Employed,0.43,1042.4,12,4035129,5.84,24,Education Loan
57,Female,Single,High School,Employed,0.9,1220.0,11,3771509,6.14,12,Personal Loan
21,Male,Married,Master,Employed,0.85,1890.8,10,802955,7.35,48,Personal Loan
19,Female,Divorced,Bachelor,Employed,0.4,572.9,1,1276571,3.01,60,Education Loan
23,Male,Single,PhD,Unemployed,0.76,2768.1,4,1771126,2.34,12,Home Loan
59,Male,Single,Bachelor,Unemployed,0.82,890.7,13,4120993,7.46,12,Education Loan
21,Male,Single,Bachelor,Employed,0.89,1050.2,7,303313,2.6,36,Auto Loan
46,Male,Widowed,Bachelor,Self-Employed,0.54,1795.7,11,4358366,8.32,24,Education Loan
35,Male,Divorced,Bachelor,Employed,0.2,2275.3,9,1612525,7.4,36,Home Loan
43,Male,Married,Master,Self-Employed,0.26,739.3,5,1727355,5.01,24,Education Loan
61,Female,Widowed,PhD,Employed,0.3,1294.2,13,3956617,8.37,36,Auto Loan
51,Male,Widowed,Master,Self-Employed,0.59,2921.7,2,3493974,2.18,12,Auto Loan
27,Female,Widowed,PhD,Unemployed,0.03,1155.9,7,3252792,3.62,48,Home Loan
53,Female,Single,Bachelor,Self-Employed,0.64,1282.6,10,4910318,5.97,24,Auto Loan
31,Male,Divorced,High School,Employed,0.36,2591.2,1,1457922,3.95,60,Auto Loan
48,Female,Widowed,Master,Unemployed,0.3,625.5,7,143114,8.0,60,Education Loan
